Firmennummer	Kundennummer	Artikelnummer	Auftragsnummer	Datum	Menge	Verkaufsumsatz	Einkaufsumsatz
115	60892	29354	54611	20230110	1.0	202.8	72.67
196	38464	29354	66010	20230111	1.0	151.15	72.67
511	61326	29354	53203	20230111	3.0	429.48	218.02
822	59125	29354	2771	20230111	1.0	150.49	72.67
822	59125	29354	47661	20230111	1.0	150.49	72.67
243	4741	29354	71710	20230111	1.0	0.0	0.0
196	33650	29354	43334	20230111	1.0	151.15	72.67
373	57766	29354	39480	20230111	1.0	160.8	72.67
705	72140	29354	92930	20230111	5.0	705.0	363.38
115	2853	29354	88385	20230111	1.0	150.6	72.67
804	30369	29354	60123	20230111	1.0	151.15	72.67
927	4578	29354	44809	20230111	1.0	149.76	72.67
115	22898	29354	26001	20230112	5.0	870.0	363.38
460	50512	29354	75500	20230112	1.0	0.0	0.0
705	88979	29354	85078	20230112	3.0	440.17	218.02
508	84278	29354	61499	20230112	1.0	160.38	72.67
804	30369	29354	25339	20230112	3.0	453.46	218.02
650	78311	29354	78772	20230112	1.0	231.78	72.67
414	16988	29354	2094	20230112	1.0	178.8	72.67
373	59318	29354	32034	20230112	1.0	177.29	72.67
373	64773	29354	77030	20230112	3.0	441.83	218.02
414	35935	29354	37674	20230112	1.0	178.8	72.67
927	92805	29354	91220	20230112	2.0	299.52	145.35
373	17333	29354	51288	20230112	1.0	179.08	72.67
373	47349	29354	7670	20230112	1.0	179.08	72.67
951	18859	29354	53959	20230112	2.0	372.36	145.35
705	43894	29354	28209	20230113	1.0	146.72	72.67
196	55132	29354	59755	20230113	1.0	151.15	72.67
196	3668	29354	4346	20230113	1.0	151.15	72.67
196	6586	29354	76665	20230113	1.0	151.15	78.6
196	38464	29354	47605	20230113	1.0	151.15	72.67
511	43433	29354	56469	20230113	1.0	163.72	72.67
705	75441	29354	81746	20230113	4.0	581.04	290.7
414	8817	29354	64290	20230113	1.0	188.06	72.67
373	47358	29354	59541	20230113	1.0	159.44	72.67
414	69133	29354	29462	20230113	1.0	188.06	72.67
320	24569	29354	14768	20230113	1.0	162.0	72.67
922	70782	29354	47559	20230113	1.0	161.98	72.67
373	27427	29354	75733	20230113	1.0	179.08	72.67
705	75441	29354	28186	20230113	3.0	435.78	218.02
115	60892	29354	17222	20230113	2.0	405.6	145.35
196	76977	29354	59507	20230113	1.0	151.15	72.67
196	24985	29354	29659	20230116	1.0	151.15	72.67
243	84509	29354	77113	20230116	1.0	151.15	72.67
115	85583	29354	58579	20230116	2.0	357.6	145.35
992	64343	29354	10869	20230116	1.0	151.15	69.87
196	24985	29354	43921	20230116	1.0	151.15	78.6
927	19641	29354	43443	20230116	1.0	137.53	72.67
196	60526	29354	39387	20230116	1.0	151.15	72.67
650	93731	29354	72463	20230116	1.0	166.8	72.67
511	10597	29354	90828	20230116	1.0	150.0	72.67
511	43433	29354	442	20230116	1.0	163.72	72.67
196	29680	29354	8352	20230116	2.0	302.3	145.35
196	2363	29354	92504	20230116	1.0	140.66	72.67
848	12445	29354	1389	20230116	1.0	146.36	72.67
848	12445	29354	45635	20230116	1.0	146.36	72.67
927	21832	29354	42101	20230117	1.0	0.0	0.0
373	27985	29354	10610	20230117	1.0	154.8	72.67
115	42063	29354	46514	20230117	1.0	151.15	72.67
212	40054	29354	67897	20230118	1.0	0.0	0.0
373	17333	29354	79840	20230118	1.0	179.08	72.67
951	66266	29354	25155	20230118	1.0	188.06	72.67
511	38062	29354	66638	20230118	1.0	163.72	69.87
373	20759	29354	98585	20230118	1.0	179.08	72.67
822	29897	29354	13337	20230118	2.0	300.98	145.35
115	8967	29354	50375	20230118	2.0	381.6	145.35
508	39125	29354	31781	20230118	1.0	154.8	72.67
142	37753	29354	66828	20230119	8.0	1209.22	628.82
115	45064	29354	7918	20230119	2.0	357.6	145.35
927	86584	29354	41865	20230119	1.0	149.76	72.67
511	72500	29354	98905	20230119	3.0	520.63	218.02
511	34937	29354	67529	20230119	1.0	190.8	72.67
508	83520	29354	21673	20230119	1.0	160.38	72.67
373	23433	29354	95581	20230119	1.0	165.6	72.67
115	21595	29354	25673	20230119	2.0	333.6	145.35
115	1267	29354	2804	20230119	1.0	151.15	72.67
951	99002	29354	59833	20230119	1.0	166.31	72.67
196	29763	29354	40347	20230119	1.0	147.62	72.67
196	60304	29354	16810	20230119	1.0	151.15	72.67
196	29763	29354	44371	20230120	1.0	147.62	72.67
511	72500	29354	84040	20230120	7.0	1083.6	508.73
650	78072	29354	6635	20230120	1.0	188.06	72.67
373	2527	29354	87574	20230120	1.0	158.4	72.67
892	74932	29354	95395	20230120	1.0	186.0	78.6
508	97123	29354	78458	20230120	1.0	160.38	72.67
650	86343	29354	81556	20230122	2.0	376.13	145.35
705	70151	29354	287	20230122	2.0	293.45	145.35
373	15521	29354	38960	20230123	1.0	166.8	72.67
511	38062	29354	65347	20230123	4.0	654.86	279.5
511	16799	29354	26227	20230123	1.0	142.8	72.67
373	76250	29354	33500	20230123	2.0	358.15	145.35
951	99002	29354	65122	20230123	1.0	166.31	72.67
511	41168	29354	9681	20230123	2.0	309.6	139.74
927	91943	29354	10104	20230123	1.0	131.88	64.7
903	50374	29354	49380	20230124	1.0	151.15	72.67
903	50374	29354	27541	20230124	1.0	151.15	72.67
373	33067	29354	57704	20230124	1.0	143.4	72.67
511	72500	29354	18594	20230124	1.0	154.8	72.67
822	5488	29354	60807	20230125	1.0	150.49	72.67
822	51094	29354	27999	20230125	1.0	150.49	72.67
196	76977	29354	56284	20230125	1.0	0.0	0.0
373	65264	29354	86355	20230125	1.0	179.08	72.67
373	12630	29354	18953	20230125	1.0	173.47	72.67
373	96819	29354	1485	20230125	1.0	177.29	72.67
511	16799	29354	18858	20230126	1.0	142.8	72.67
414	58676	29354	71834	20230126	1.0	188.06	72.67
822	5488	29354	68735	20230126	1.0	150.49	72.67
511	36753	29354	80336	20230126	1.0	145.2	69.87
196	23125	29354	7259	20230127	1.0	151.15	78.6
822	47233	29354	95047	20230127	1.0	150.49	72.67
856	85251	29354	74180	20230127	4.0	596.06	290.7
373	27985	29354	49922	20230130	1.0	0.0	0.0
856	85251	29354	77525	20230130	1.0	149.02	72.67
373	65264	29354	79581	20230130	1.0	179.08	72.67
927	91943	29354	75888	20230130	1.0	143.99	69.87
373	43016	29354	81162	20230131	1.0	179.08	69.87
373	2581	29354	83550	20230201	1.0	141.6	72.67
373	2581	29354	4832	20230201	2.0	283.2	145.35
373	65344	29354	59288	20230201	1.0	166.8	72.67
650	48572	29354	95192	20230202	1.0	154.8	72.67
822	47233	29354	79533	20230202	1.0	150.49	72.67
511	45566	29354	99895	20230203	3.0	464.4	218.02
511	94311	29354	84025	20230203	2.0	281.76	145.35
763	74760	29354	98995	20230203	10.0	1536.0	726.75
927	68152	29354	47139	20230203	2.0	299.52	145.35
320	92684	29354	40883	20230206	1.0	162.0	72.67
373	64773	29354	46	20230206	5.0	736.38	363.38
373	30162	29354	52691	20230206	5.0	895.38	363.38
508	99467	29354	34099	20230206	10.0	1500.0	726.75
373	2581	29354	47569	20230206	1.0	141.6	72.67
927	19641	29354	6502	20230206	1.0	137.53	72.67
373	46803	29354	79245	20230206	3.0	428.4	218.02
320	34223	29354	1959	20230206	1.0	162.0	72.67
508	85218	29354	86873	20230206	1.0	186.0	72.67
118	43895	29354	76722	20230206	1.0	186.18	72.67
373	59718	29354	50040	20230206	1.0	179.08	72.67
414	23077	29354	53500	20230207	1.0	178.66	72.67
922	54896	29354	10375	20230207	3.0	483.52	218.02
650	88797	29354	91037	20230207	1.0	166.8	72.67
373	79131	29354	81215	20230207	1.0	172.18	69.87
927	19641	29354	57001	20230207	1.0	137.53	72.67
822	5488	29354	71039	20230208	1.0	150.49	72.67
196	97116	29354	27445	20230208	3.0	453.46	218.02
927	45994	29354	93530	20230208	1.0	149.76	72.67
848	47816	29354	51184	20230208	1.0	137.93	69.87
804	13275	29354	77587	20230208	3.0	453.46	209.62
924	82088	29354	42118	20230208	1.0	151.15	69.87
115	47888	29354	6940	20230208	1.0	202.8	72.67
196	38464	29354	32356	20230208	6.0	906.91	419.24
944	14963	29354	69105	20230209	1.0	133.98	69.87
944	14963	29354	29159	20230209	1.0	133.98	69.87
944	14963	29354	127	20230209	1.0	133.98	69.87
944	14963	29354	95757	20230209	2.0	267.96	139.74
944	14963	29354	77802	20230209	4.0	535.92	279.5
944	14963	29354	11060	20230209	2.0	267.96	139.74
944	14963	29354	80799	20230209	40.0	5359.2	2794.94
196	90415	29354	66258	20230209	1.0	151.15	72.67
373	97527	29354	32422	20230209	1.0	166.8	72.67
373	64134	29354	74554	20230209	1.0	179.08	72.67
142	37753	29354	50177	20230210	2.0	302.3	157.21
115	45064	29354	8770	20230210	1.0	178.8	72.67
115	84167	29354	91045	20230210	1.0	151.15	72.67
914	86244	29354	37028	20230210	1.0	149.64	69.87
29	19023	29354	26610	20230210	1.0	151.15	69.87
593	87526	29354	34579	20230210	1.0	151.15	69.87
103	38286	29354	97829	20230210	1.0	149.64	69.87
243	90803	29354	34948	20230210	1.0	151.15	69.87
848	86776	29354	61490	20230210	2.0	289.8	145.35
243	75627	29354	94160	20230210	2.0	302.3	145.35
848	55066	29354	51234	20230210	1.0	306.41	72.67
103	22008	29354	71357	20230210	1.0	151.15	72.67
29	42302	29354	86483	20230210	3.0	448.92	218.02
115	68780	29354	25739	20230210	1.0	202.8	72.67
924	82088	29354	36270	20230210	1.0	151.15	69.87
511	45566	29354	53389	20230210	1.0	154.8	72.67
511	3443	29354	66299	20230210	10.0	1464.0	726.75
944	71819	29354	4393	20230210	3.0	401.94	218.02
944	14963	29354	24731	20230213	1.0	133.98	72.67
944	14963	29354	92496	20230213	1.0	133.98	72.67
944	14963	29354	64186	20230213	1.0	133.98	69.87
115	1267	29354	30254	20230213	3.0	536.4	218.02
243	88110	29354	76727	20230213	1.0	168.0	72.67
196	79658	29354	89133	20230213	5.0	930.0	349.37
903	75055	29354	98504	20230214	2.0	302.3	145.35
927	45994	29354	66240	20230214	1.0	149.76	72.67
804	10106	29354	77498	20230214	1.0	151.15	72.67
196	15658	29354	11845	20230215	3.0	453.46	218.02
511	11379	29354	34525	20230215	1.0	145.2	72.67
927	19641	29354	32587	20230215	5.0	687.66	363.38
650	87364	29354	8839	20230215	1.0	183.46	72.67
196	3668	29354	81769	20230216	1.0	151.15	69.87
196	6586	29354	90538	20230216	1.0	151.15	72.67
804	30369	29354	70805	20230217	2.0	302.3	157.21
29	19023	29354	72370	20230217	1.0	151.15	72.67
822	62570	29354	78041	20230217	1.0	157.14	72.67
196	3668	29354	26865	20230217	1.0	151.15	69.87
103	83033	29354	60386	20230217	1.0	0.0	0.0
103	83033	29354	54830	20230217	1.0	0.0	0.0
460	50512	29354	52504	20230219	1.0	141.6	72.67
29	19023	29354	6435	20230220	1.0	151.15	72.67
115	68780	29354	1973	20230220	1.0	202.8	72.67
903	50374	29354	30308	20230220	1.0	151.15	72.67
373	83212	29354	13883	20230220	1.0	166.8	72.67
414	12628	29354	16242	20230220	1.0	168.48	72.67
848	92353	29354	40392	20230220	1.0	146.36	72.67
822	62570	29354	91539	20230220	1.0	157.14	72.67
822	62570	29354	3314	20230220	1.0	157.14	72.67
822	62570	29354	12315	20230221	1.0	157.14	72.67
822	62570	29354	41840	20230221	1.0	157.14	72.67
822	62570	29354	90050	20230221	1.0	157.14	72.67
414	15168	29354	86061	20230221	1.0	178.8	72.67
373	12630	29354	37370	20230221	1.0	173.47	72.67
511	36753	29354	50469	20230221	1.0	140.84	72.67
243	62516	29354	36230	20230222	1.0	151.15	72.67
115	47888	29354	22275	20230222	1.0	202.8	72.67
511	45566	29354	37647	20230222	2.0	309.6	145.35
373	59804	29354	22583	20230222	1.0	179.08	72.67
848	89359	29354	99524	20230222	1.0	151.14	72.67
373	57766	29354	83395	20230222	1.0	160.8	72.67
29	19023	29354	13646	20230223	1.0	151.15	72.67
243	78246	29354	95641	20230223	1.0	156.0	72.67
822	13630	29354	63481	20230224	1.0	150.49	72.67
29	79271	29354	77576	20230224	1.0	151.15	72.67
822	29897	29354	74290	20230224	3.0	451.48	218.02
822	62570	29354	67292	20230227	1.0	150.49	72.67
373	33067	29354	29191	20230227	1.0	179.08	72.67
822	50387	29354	33410	20230227	1.0	150.49	72.67
196	38464	29354	21089	20230228	1.0	151.15	72.67
508	36239	29354	38525	20230228	1.0	160.38	72.67
373	65264	29354	46821	20230228	1.0	179.08	72.67
115	21595	29354	65426	20230228	1.0	166.8	72.67
29	19023	29354	48611	20230301	4.0	598.56	290.7
712	29008	29354	18950	20230301	1.0	151.15	72.67
822	54298	29354	3649	20230301	1.0	150.49	72.67
705	90820	29354	61149	20230301	1.0	146.72	72.67
196	88824	29354	4440	20230301	1.0	151.15	72.67
804	10106	29354	29761	20230302	1.0	151.15	72.67
822	46590	29354	75047	20230302	2.0	300.98	145.35
650	93731	29354	19184	20230302	1.0	166.8	72.67
409	82088	29354	37108	20230303	1.0	151.15	72.67
115	47508	29354	75436	20230303	1.0	151.15	72.67
712	20996	29354	90182	20230306	1.0	178.8	72.67
115	45064	29354	90299	20230306	3.0	536.4	218.02
922	92456	29354	32324	20230306	1.0	161.98	72.67
373	57766	29354	33989	20230306	1.0	172.18	69.87
903	6393	29354	39345	20230306	1.0	151.15	72.67
903	93227	29354	42096	20230306	1.0	151.15	72.67
903	62170	29354	18736	20230306	1.0	151.15	72.67
115	19637	29354	69888	20230307	1.0	190.8	72.67
373	87240	29354	17358	20230307	1.0	166.8	72.67
115	19637	29354	54765	20230307	1.0	190.8	72.67
243	88110	29354	93666	20230308	1.0	156.0	72.67
196	93094	29354	33824	20230308	1.0	151.15	72.67
115	98739	29354	72608	20230308	1.0	192.66	69.87
373	85693	29354	12183	20230310	1.0	166.8	72.67
373	65264	29354	77787	20230310	1.0	179.08	72.67
115	85583	29354	94577	20230310	1.0	178.8	72.67
650	33231	29354	47847	20230313	1.0	188.06	72.67
196	6586	29354	29373	20230313	1.0	151.15	72.67
243	90803	29354	57119	20230314	1.0	151.15	72.67
196	93916	29354	13508	20230314	1.0	151.15	72.67
196	79650	29354	88578	20230315	1.0	151.15	72.67
951	39852	29354	78499	20230315	1.0	188.06	72.67
196	55132	29354	90947	20230316	1.0	145.1	72.67
650	33231	29354	43436	20230316	1.0	188.06	72.67
115	42767	29354	54659	20230317	1.0	190.8	72.67
196	79650	29354	98923	20230317	1.0	0.0	0.0
115	77901	29354	50814	20230317	1.0	151.15	72.67
196	93094	29354	29941	20230320	1.0	151.15	72.67
951	99154	29354	93439	20230320	1.0	188.06	72.67
650	33231	29354	1716	20230320	1.0	188.06	72.67
373	76250	29354	59363	20230320	1.0	166.8	72.67
373	79131	29354	13205	20230320	1.0	172.18	69.87
712	54536	29354	31515	20230320	1.0	190.8	64.7
508	99467	29354	76848	20230320	10.0	1500.0	726.75
951	15329	29354	52187	20230320	1.0	182.42	72.67
373	85693	29354	1064	20230320	1.0	166.8	72.67
822	97230	29354	52585	20230320	1.0	150.49	72.67
373	86180	29354	75598	20230322	1.0	179.08	72.67
944	14963	29354	88466	20230323	1.0	133.98	72.67
944	14963	29354	42096	20230323	10.0	1339.8	726.75
944	14963	29354	29699	20230323	1.0	133.98	72.67
142	37753	29354	23942	20230323	10.0	1511.52	726.75
944	14963	29354	77325	20230323	2.0	267.96	145.35
944	14963	29354	75218	20230323	1.0	133.98	72.67
944	14963	29354	84047	20230323	1.0	133.98	72.67
944	14963	29354	65078	20230323	1.0	133.98	72.67
944	14963	29354	13739	20230323	1.0	133.98	72.67
944	14963	29354	74796	20230323	1.0	133.98	72.67
944	14963	29354	77790	20230323	3.0	401.94	218.02
944	14963	29354	26349	20230323	1.0	133.98	72.67
944	14963	29354	83766	20230323	3.0	401.94	218.02
944	14963	29354	55709	20230323	3.0	401.94	218.02
944	14963	29354	35506	20230323	1.0	133.98	72.67
944	14963	29354	53603	20230323	1.0	133.98	72.67
944	14963	29354	90043	20230323	1.0	133.98	72.67
944	14963	29354	76725	20230323	1.0	133.98	72.67
944	14963	29354	44952	20230323	1.0	133.98	72.67
944	14963	29354	21545	20230323	1.0	133.98	72.67
142	18476	29354	51180	20230323	2.0	302.3	145.35
460	48322	29354	83501	20230323	1.0	138.0	72.67
944	14963	29354	8829	20230323	20.0	2679.6	1453.5
797	94294	29354	65940	20230323	1.0	149.64	72.67
944	14963	29354	56690	20230323	1.0	133.98	72.67
196	90415	29354	33333	20230323	1.0	151.15	72.67
944	14963	29354	47347	20230323	1.0	133.98	72.67
115	68780	29354	12741	20230323	1.0	202.8	72.67
944	14963	29354	12870	20230323	1.0	133.98	72.67
908	19505	29354	19658	20230323	2.0	299.28	145.35
944	14963	29354	39128	20230323	1.0	133.98	72.67
142	34811	29354	74291	20230323	5.0	755.76	363.38
944	14963	29354	76044	20230323	1.0	133.98	72.67
115	75930	29354	26114	20230323	1.0	149.64	72.67
243	1565	29354	94626	20230323	1.0	151.15	72.67
944	14963	29354	23866	20230323	6.0	803.88	436.05
944	71819	29354	53806	20230323	4.0	535.92	290.7
243	90803	29354	85414	20230323	1.0	151.15	72.67
944	14963	29354	81631	20230323	1.0	133.98	72.67
944	71819	29354	8478	20230323	1.0	133.98	72.67
944	71819	29354	25622	20230323	1.0	133.98	72.67
243	75627	29354	68302	20230323	1.0	151.15	72.67
944	71819	29354	53129	20230323	2.0	267.96	145.35
944	71819	29354	15817	20230323	1.0	133.98	72.67
944	71819	29354	95153	20230323	2.0	267.96	145.35
944	71819	29354	28715	20230323	5.0	669.9	363.38
196	76977	29354	37435	20230323	1.0	151.15	72.67
944	71819	29354	68092	20230323	8.0	1071.84	581.4
944	71819	29354	99685	20230323	2.0	267.96	145.35
196	91966	29354	70688	20230323	1.0	151.15	72.67
944	71819	29354	98146	20230323	12.0	1607.76	872.1
944	71819	29354	17594	20230323	4.0	535.92	290.7
944	71819	29354	49679	20230323	1.0	133.98	72.67
944	71819	29354	98413	20230323	6.0	803.88	436.05
944	71819	29354	65975	20230323	4.0	535.92	290.7
944	71819	29354	63317	20230323	3.0	401.94	218.02
196	48120	29354	5811	20230323	1.0	151.15	72.67
944	71819	29354	30292	20230323	7.0	937.86	508.73
142	5368	29354	62196	20230323	20.0	3023.04	1453.5
822	74468	29354	99182	20230323	1.0	150.49	72.67
712	51773	29354	46617	20230323	2.0	298.3	145.35
804	33123	29354	52384	20230323	1.0	151.15	72.67
142	37753	29354	68438	20230323	50.0	7557.6	3633.76
196	50056	29354	26946	20230323	20.0	2977.69	1453.5
848	73639	29354	68406	20230323	2.0	291.82	145.35
804	90604	29354	8863	20230323	1.0	146.26	64.7
243	8843	29354	74427	20230323	2.0	302.3	145.35
409	517	29354	78281	20230323	2.0	302.3	145.35
944	71819	29354	18172	20230323	3.0	401.94	218.02
373	19480	29354	74174	20230323	1.0	159.44	72.67
373	47349	29354	25262	20230323	1.0	166.8	72.67
508	36658	29354	22408	20230323	1.0	147.0	72.67
712	83804	29354	29022	20230323	1.0	151.15	72.67
650	81335	29354	49543	20230323	1.0	166.8	72.67
944	71819	29354	71833	20230323	2.0	267.96	145.35
903	22951	29354	19027	20230323	1.0	151.15	72.67
460	1507	29354	1287	20230323	1.0	138.0	72.67
196	51696	29354	31815	20230323	1.0	151.15	72.67
593	87526	29354	13393	20230323	1.0	151.15	72.67
992	32976	29354	75431	20230323	1.0	149.64	72.67
196	14415	29354	8522	20230324	1.0	151.15	72.67
243	88110	29354	65316	20230324	1.0	151.15	72.67
822	97230	29354	38794	20230324	1.0	150.49	72.67
243	82705	29354	23731	20230324	1.0	151.15	72.67
903	13741	29354	85498	20230324	1.0	151.15	72.67
243	13488	29354	71157	20230327	5.0	755.76	363.38
196	42544	29354	67353	20230327	1.0	151.15	72.67
712	83804	29354	2382	20230327	1.0	151.15	72.67
712	83804	29354	71280	20230327	1.0	0.0	0.0
712	83804	29354	88865	20230327	1.0	151.15	72.67
196	3668	29354	64409	20230327	1.0	151.15	69.87
196	2363	29354	48047	20230327	1.0	135.66	72.67
848	47	29354	35551	20230327	1.0	146.36	72.67
848	1000	29354	42101	20230327	1.0	190.8	72.67
460	25714	29354	73294	20230328	2.0	302.3	145.35
460	42819	29354	75342	20230328	5.0	690.0	363.38
822	97230	29354	63502	20230328	1.0	150.49	72.67
508	27121	29354	74100	20230328	10.0	1416.0	726.75
903	47835	29354	48659	20230328	1.0	151.15	72.67
508	22112	29354	67803	20230329	2.0	320.76	145.35
822	43834	29354	56601	20230329	1.0	150.49	72.67
508	29977	29354	10234	20230329	4.0	641.52	290.7
196	80637	29354	43737	20230330	1.0	151.15	72.67
804	67126	29354	51235	20230330	2.0	302.3	145.35
650	19603	29354	71401	20230330	2.0	333.6	145.35
650	40928	29354	98084	20230330	1.0	166.8	72.67
903	67331	29354	73986	20230331	1.0	151.15	72.67
822	59125	29354	35962	20230331	2.0	266.4	145.35
409	82088	29354	59079	20230331	1.0	151.15	72.67
508	26633	29354	27203	20230331	4.0	641.52	290.7
243	78246	29354	96211	20230331	1.0	156.0	72.67
914	45326	29354	89780	20230402	1.0	149.64	72.67
142	18476	29354	6476	20230403	2.0	302.3	157.21
115	47888	29354	90681	20230403	1.0	190.8	72.67
115	48331	29354	54268	20230403	3.0	450.0	218.02
951	6990	29354	53357	20230403	1.0	188.06	72.67
460	10642	29354	31449	20230403	1.0	138.0	72.67
115	1267	29354	79190	20230405	3.0	536.4	218.02
196	31767	29354	75711	20230405	10.0	1511.52	726.75
460	35320	29354	70960	20230405	1.0	160.75	72.67
460	4743	29354	79557	20230405	20.0	3119.52	1453.5
196	52635	29354	89079	20230405	1.0	143.59	72.67
196	51696	29354	58013	20230405	2.0	302.3	145.35
822	97230	29354	19172	20230405	7.0	999.6	508.73
944	71819	29354	62353	20230405	4.0	535.92	290.7
944	71819	29354	99873	20230405	15.0	2009.7	1090.13
944	71819	29354	11047	20230405	1.0	133.98	72.67
944	71819	29354	84418	20230405	11.0	1473.78	799.42
944	71819	29354	52311	20230405	5.0	669.9	363.38
243	88110	29354	77368	20230406	1.0	151.15	72.67
944	71819	29354	74908	20230406	1.0	133.98	72.67
903	50374	29354	20916	20230406	1.0	151.15	72.67
712	51773	29354	38626	20230406	1.0	149.15	72.67
951	2666	29354	43555	20230410	1.0	188.06	72.67
115	45064	29354	27503	20230411	1.0	178.8	72.67
29	19023	29354	48272	20230411	1.0	151.15	72.67
848	21595	29354	40373	20230411	1.0	157.5	72.67
804	47515	29354	1421	20230411	1.0	151.15	72.67
903	75055	29354	34199	20230411	1.0	151.15	72.67
822	56024	29354	34728	20230412	5.0	742.2	363.38
508	36658	29354	4602	20230412	4.0	588.0	290.7
196	76977	29354	12473	20230412	2.0	302.3	139.74
848	21745	29354	4788	20230412	1.0	165.92	72.67
115	85583	29354	58010	20230413	1.0	178.8	72.67
115	45064	29354	48682	20230414	1.0	151.15	72.67
848	86776	29354	49555	20230414	2.0	292.73	145.35
460	50512	29354	73758	20230414	1.0	141.6	72.67
196	46727	29354	8449	20230416	1.0	151.15	72.67
650	11022	29354	48755	20230417	1.0	166.8	72.67
951	25875	29354	36235	20230417	1.0	188.06	72.67
115	85583	29354	89406	20230417	1.0	151.15	72.67
196	49758	29354	88105	20230417	4.0	604.61	290.7
951	15329	29354	34055	20230417	1.0	188.06	72.67
196	52635	29354	49900	20230417	1.0	151.15	72.67
29	19023	29354	40964	20230418	5.0	755.76	363.38
29	19023	29354	91280	20230418	10.0	1496.4	726.75
822	46590	29354	94875	20230418	1.0	150.49	72.67
822	46590	29354	91685	20230418	1.0	150.49	72.67
243	1452	29354	12940	20230418	1.0	151.15	72.67
142	37434	29354	90772	20230418	1.0	149.64	78.6
115	45064	29354	96912	20230418	1.0	151.15	72.67
951	17222	29354	38818	20230418	1.0	188.06	72.67
196	76977	29354	24897	20230418	1.0	151.15	72.67
822	43834	29354	87404	20230419	1.0	150.49	72.67
243	4741	29354	97095	20230420	1.0	151.15	72.67
243	78246	29354	86154	20230420	2.0	310.44	145.35
243	78246	29354	59344	20230420	1.0	155.22	72.67
511	36753	29354	76013	20230420	2.0	281.69	145.35
115	68780	29354	67166	20230420	1.0	202.8	72.67
848	86776	29354	25816	20230420	1.0	146.36	72.67
927	91943	29354	28220	20230421	1.0	143.99	69.87
142	88449	29354	2230	20230421	1.0	168.42	78.6
115	45064	29354	63139	20230421	1.0	151.15	72.67
115	2853	29354	29527	20230424	1.0	151.15	72.67
115	73372	29354	95228	20230424	3.0	450.0	218.02
243	88110	29354	27092	20230424	1.0	151.15	72.67
822	29897	29354	97853	20230424	1.0	150.49	72.67
722	79959	29354	29608	20230425	100.0	14508.0	7267.52
804	17254	29354	38303	20230425	1.0	151.15	72.67
650	50471	29354	81927	20230425	1.0	188.06	72.67
511	45566	29354	96801	20230427	3.0	495.0	218.02
243	90803	29354	75521	20230428	2.0	302.3	145.35
243	90803	29354	62549	20230428	1.0	151.15	72.67
804	37553	29354	83138	20230428	2.0	302.3	145.35
